,,Documento a Cancelar,,,INF Documento Siguiente,,,Motivo de Cancelacion SAT-SAE,,,,,,
Clave,Descripción,Prefactura,Factura,Remisión,Otro Documento,Canelación Total,Prefactura Libre,01 Comprobantes emitidos con errores con relación,02 Comprobantes emitidos con errores sin relacion,03 No se llevó a cabo la operación,PROCEDIMIENTO,Periodicidad,Aplica Sustitución en Corte,OBSERVACIONES ESPECIALES
MDC00001,ERROR EN DESCUENTO,,,,,,,,,,"Tienda: Captura nuevamente el documento de venta (Factura, prefa o remisión) ""sin errores"", solicita la cancelación del documento erróneo y envía los datos de a cual documento pasó. Oficina: Cancela el folio solicitado y relaciona en la cancelación el folio al que pasó.","Generalmente, mismo día",No,"Si se detecta el descuento posteriormente, se realiza nota de crédito por descuento y se aplica a futuras ventas"
MDC00002,ERROR EN CLIENTE (CAMBIO DE CLAVE CLIENTE),,,,,,,,,,"Tienda: Solicita se deje prefa libre, se manda información de clave de cliente correcta, cuando se libere la prefactura jalar nuevamente; motivo 04: Sustitución de CPO previos y su respectivo comentario y guardar. Oficina: Cancelar factura solicitada con relación ""02"".",Puede ser mismo día o diferente día,No/Si,
MDC00003,ERROR EN CÓDIGO DE PRODUCTO,,,,,,,,,,"Tienda: Captura nuevamente el documento de venta (Factura, prefa o remisión) ""sin errores"", solicita la cancelación del documento erróneo y envía los datos de a cual documento pasó. Oficina: Cancela el folio solicitado y relaciona en la cancelación el folio al que pasó.","Generalmente, mismo día",No,
MDC00004,AGREGÓ PRODUCTO,,,,,,,,,,"Tienda: Captura nuevamente el documento de venta (Factura, prefa o remisión) ""sin errores"", solicita la cancelación del documento erróneo y envía los datos de a cual documento pasó. Oficina: Cancela el folio solicitado y relaciona en la cancelación el folio al que pasó.",Mismo día,No,
MDC00005,QUITO PRODUCTO,,,,,,,,,,"Tienda: Captura nuevamente el documento de venta (Factura, prefa o remisión) ""sin errores"", solicita la cancelación del documento erróneo y envía los datos de a cual documento pasó. Oficina: Cancela el folio solicitado y relaciona en la cancelación el folio al que pasó.",Mismo día,No,
MDC00006,CAMBIO PRODUCTO,,,,,,,,,,"Tienda: Captura nuevamente el documento de venta (Factura, prefa o remisión) ""sin errores"", solicita la cancelación del documento erróneo y envía los datos de a cual documento pasó. Oficina: Cancela el folio solicitado y relaciona en la cancelación el folio al que pasó.",Mismo día,No,
MDC00007,ERROR EN COMANDA,,,,,,,,,,"Tienda: Captura nuevamente el documento de venta (Factura, prefa o remisión) ""sin errores"", solicita la cancelación del documento erróneo y envía los datos de a cual documento pasó. Oficina: Cancela el folio solicitado y relaciona en la cancelación el folio al que pasó.",Mismo día,NO,
MDC00008,ERROR EN FORMA O MÉTODO DE PAGO DE SAE-SAT (EXTERNO),,,,,,,,,,"Tienda: Captura nuevamente el documento de venta (Factura, prefa o remisión) ""sin errores"", solicita la cancelación del documento erróneo y envía los datos de a cual documento pasó. Oficina: Cancela el folio solicitado y relaciona en la cancelación el folio al que pasó.",Puede ser mismo día o diferente día,No/Si,
MDC00009,ERROR EN ENVASADO,,,,,,,,,,"Tienda: Captura nuevamente el documento de venta (Factura, prefa o remisión) ""sin errores"", solicita la cancelación del documento erróneo y envía los datos de a cual documento pasó. Oficina: Cancela el folio solicitado y relaciona en la cancelación el folio al que pasó.",Mismo día,No,
MDC00010,ERROR EN TIMBRADO,,,,,,,,,,"Al no estar timbrada la factura, no tiene efecto fiscal si se deja libre prefa",Puede ser mismo día o diferente día,Aline,
MDC00011,"CAMBIO Y/O ACTUALIZACIÓN DATOS DE CLIENTE (MISMA CLAVE, CORRECCIÓN EN DOMICILIO, ETC)",,,,,,,,,,"Tienda: Captura nuevamente el documento de venta (Factura, prefa o remisión) ""sin errores"", solicita la cancelación del documento erróneo y envía los datos de a cual documento pasó. Oficina: Cancela el folio solicitado y relaciona en la cancelación el folio al que pasó.",Puede ser mismo día o diferente día,No/Si,
MDC00012,ERROR EN SERIE,,,,,,,,,,"Tienda: Captura nuevamente el documento de venta (Factura, prefa o remisión) ""sin errores"", solicita la cancelación del documento erróneo y envía los datos de a cual documento pasó. Oficina: Cancela el folio solicitado y relaciona en la cancelación el folio al que pasó.",Puede ser mismo día o diferente día,No,"Si la venta de contado se dejó en serie de crédito, no aplica sustitución en corte, ya que la venta no ha sido depositada y debe estar como existente en caja."
MDC00013,NO SE ENCONTRÓ CLIENTE,,,,,,,,,,"Tienda: Solicita la cancelación total en caso de no haber producto igualado o envasado, en caso de tenerlo, se deberá solicitar autorización para dejar PREFA LIBRE EN SEGUIMIENTO y manejar la venta como nueva, o en su caso dar tratamiento de código ""C""",Mismo día,No,
MDC00014,USO DE CFDI,,,,,,,,,,"Tienda: Captura nuevamente el documento de venta (Factura, prefa o remisión) ""sin errores"", solicita la cancelación del documento erróneo y envía los datos de a cual documento pasó. Oficina: Cancela el folio solicitado y relaciona en la cancelación el folio al que pasó.",Puede ser mismo día o diferente día,No/Si,
MDC00015,SOLICITÓ FACTURA,,,,,,,,,,"Tienda: Solicita se deje prefa libre, se manda información de clave de cliente correcta, cuando se libere la prefactura jalar nuevamente; motivo 04: Sustitución de CPO previos y su respectivo comentario y guardar. Oficina: Cancelar factura solicitada con relación ""02"".",Puede ser mismo día o diferente día,No/Si,
MDC00016,"SOLICITÓ FACTURA MENOS DE $3,000",,,,,,,,,,"Tienda: Solicita se deje prefa libre, se manda información de clave de cliente correcta, cuando se libere la prefactura jalar nuevamente; motivo 04: Sustitución de CPO previos y su respectivo comentario y guardar. Oficina: Cancelar factura solicitada con relación ""02"".",Puede ser mismo día o diferente día,No/Si,"Se elige error sin relación, ya que al solo existir una factura y a las que pasa son más de una, no se puede relacionar la misma cancelación dos veces"
MDC00017,NO TENÍA DINERO EL CLIENTE,,,,,,,,,,"Tienda: Solicita la cancelación total en caso de no haber producto igualado o envasados, en caso de tenerlo, se deberá solicitar autorización para dejar PREFA LIBRE EN SEGUIMIENTO y manejar la venta como nueva, o en su caso dar tratamiento de código ""C""",Mismo día,No,
MDC00018,SALIÓ PRECIO DEL PRODUCTO EN $0,,,,,,,,,,"Tienda: Captura nuevamente el documento de venta (Factura, prefa o remisión) ""sin errores"", solicita la cancelación del documento erróneo y envía los datos de a cual documento pasó. Oficina: Cancela el folio solicitado y relaciona en la cancelación el folio al que pasó.",Mismo día,No,
MDC00019,ALTA DE CLIENTE,,,,,,,,,,La prefactura no se timbra en sae,Mismo día,No,
MDC00020,NO RELACIONÓ,,,,,,,,,,"Tienda: Solicita se deje prefa libre, cuando se libere la prefactura jalar nuevamente, relacionar con motivo 04: Sustitución de CFDI previos y su respectivo comentario y guardar. Oficina: Cancelar Factura solicitada con relación ""02""",Mismo día,,
MDC00021,RÉGIMEN FISCAL INCORRECTO,,,,,,,,,,"Tienda: Captura nuevamente el documento de venta (Factura, prefa o remisión) ""sin errores"", solicita la cancelación del documento erróneo y envía los datos de a cual documento pasó. Oficina: Cancela el folio solicitado y relaciona en la cancelación el folio al que pasó.",Puede ser mismo día o diferente día,No/Si,
MDC00022,CLIENTE CANCELÓ LA VENTA,,,,,,,,,,"Tienda: Solicita la cancelación total en caso de no haber producto igualado o envasados, en caso de tenerlo, se deberá solicitar autorización para dejar PREFA LIBRE EN SEGUIMIENTO y manejar la venta como nueva, o en su caso dar tratamiento de código ""C""",Mismo día,No,